,PanE
1104,0.556198347107438
205,0.390909090909091
34,0.3314049586776859
775,0.2917355371900826
508,0.3314049586776859
1430,0.3975206611570249
1390,0.6355371900826448
91,0.4570247933884298
1363,0.2785123966942149
897,0.3181818181818182
564,0.2520661157024793
1369,0.2586776859504132
776,0.4371900826446281
241,0.5165289256198347
13,0.2652892561983471
315,0.4371900826446281
600,0.2057851239669421
387,0.2190082644628099
1297,0.5033057851239671
166,0.4570247933884298
840,0.3776859504132231
20,0.4768595041322314
646,0.3049586776859504
1154,0.4239669421487604
831,0.3049586776859504
1267,0.3115702479338843
562,0.5694214876033058
1415,0.4702479338842976
686,0.4702479338842976
957,0.1991735537190082
189,0.3578512396694215
975,0.4305785123966942
699,0.5495867768595042
510,0.2652892561983471
1082,0.5760330578512397
474,0.4636363636363637
856,0.4768595041322314
747,0.1727272727272727
252,0.4636363636363637
21,0.3247933884297521
1337,0.2520661157024793
459,0.3446280991735537
1184,0.1661157024793388
276,0.5297520661157025
955,0.2454545454545454
1215,0.3446280991735537
385,0.271900826446281
805,0.5363636363636364
343,0.2785123966942149
769,0.4173553719008265
1332,0.2057851239669421
130,0.2785123966942149
871,0.3710743801652892
1123,0.3842975206611571
1396,0.4239669421487604
87,0.2388429752066116
330,0.3578512396694215
1238,0.3181818181818182
466,0.212396694214876
121,0.3181818181818182
1044,0.2322314049586777
1095,0.4636363636363637
1130,0.4570247933884298
1294,0.2190082644628099
860,0.3512396694214876
1126,0.3644628099173553
