,T,W,SR,DSP,DRH,PanE,Index
879,0.4244239631336406,0.3343800322061192,0.3655836341756919,0.3461538461538458,0.6364705882352941,0.3049586776859504,0.4180310936683721
595,0.4686635944700461,0.3112721417069243,0.6232250300842359,0.4384615384615374,0.7023529411764706,0.3512396694214876,0.2503416549095411
61,0.3912442396313363,0.3028180354267311,0.3297232250300842,0.6538461538461542,0.6552941176470588,0.2322314049586777,0.293822067080839
1220,0.435483870967742,0.3248792270531401,0.5835138387484957,0.5,0.7211764705882353,0.3181818181818182,0.5633872376254419
272,0.4281105990783411,0.3586151368760065,0.7064981949458483,0.4384615384615374,0.6176470588235294,0.4305785123966942,0.2899217744346499
1169,0.4465437788018435,0.2342190016103059,0.3858002406738868,0.5307692307692291,0.26,0.4041322314049587,0.4051749395334857
872,0.3359447004608294,0.2581320450885668,0.4416365824308063,0.5615384615384625,0.6647058823529413,0.2520661157024793,0.4921908109662861
1084,0.57926267281106,0.293317230273752,0.5959085439229844,0.3461538461538458,0.6835294117647058,0.3842975206611571,0.2355120497092873
1394,0.4576036866359447,0.4312399355877616,0.4703971119133573,0.5307692307692291,0.2035294117647059,0.6024793388429752,0.3602107832756824
278,0.3470046082949308,0.2268921095008051,0.2060168471720818,0.5307692307692291,0.58,0.212396694214876,0.5535080357790355
1121,0.5092165898617512,0.2892914653784219,0.6883273164861612,0.4076923076923083,0.7023529411764706,0.3975206611570249,0.8810040362682771
694,0.3101382488479263,0.2489533011272142,0.2660649819494585,0.5923076923076916,0.6835294117647058,0.1925619834710744,0.5925804470832657
368,0.523963133640553,0.2628824476650563,0.2939831528279181,0.3769230769230749,0.7400000000000001,0.2190082644628099,0.2356533822124827
1338,0.6013824884792627,0.3157004830917874,0.7885679903730445,0.2846153846153832,0.6647058823529413,0.4900826446280992,0.6144726508602388
36,0.4686635944700461,0.400402576489533,0.57942238267148,0.4384615384615374,0.5047058823529412,0.4702479338842976,0.2763619161224588
735,0.5018433179723504,0.3098228663446055,0.7155234657039711,0.3769230769230749,0.6647058823529413,0.4041322314049587,0.7065307111941475
1290,0.5682027649769585,0.3138486312399356,0.7477737665463298,0.3461538461538458,0.6458823529411765,0.4636363636363637,0.6348891420469327
662,0.3912442396313363,0.4664251207729469,0.2684717208182912,0.5307692307692291,0.711764705882353,0.2520661157024793,0.1968075037257179
1278,0.5092165898617512,0.3457326892109501,0.135740072202166,0.2230769230769207,0.8623529411764705,0.1396694214876033,0.7741601936337799
1309,0.5755760368663595,0.2914653784219001,0.7375451263537907,0.3461538461538458,0.6741176470588235,0.443801652892562,0.887193376769292
977,0.6382488479262673,0.3292270531400967,0.8434416365824309,0.4076923076923083,0.6270588235294118,0.5628099173553719,0.4004385446143105
547,0.3949308755760369,0.3450080515297906,0.6317689530685919,0.4692307692307709,0.6552941176470588,0.3644628099173553,0.3072682075286537
1208,0.4539170506912443,0.2727858293075684,0.4125150421179302,0.5615384615384625,0.6270588235294118,0.2454545454545454,0.4541771630689066
688,0.6345622119815668,0.3241545893719806,0.7779783393501803,0.4076923076923083,0.6741176470588235,0.4966942148760331,0.1609446466964614
738,0.2548387096774194,0.2456521739130435,0.3352587244283994,0.6538461538461542,0.6458823529411765,0.1991735537190082,0.4982415975231081
191,0.3764976958525345,0.3879227053140096,0.529482551143201,0.5923076923076916,0.5705882352941177,0.3710743801652892,0.1160996963984873
919,0.3285714285714286,0.2852657004830918,0.367870036101083,0.6846153846153833,0.5611764705882353,0.2652892561983471,0.8053307619570239
456,0.4649769585253457,0.3424315619967794,0.6637785800240673,0.4384615384615374,0.6741176470588235,0.3975206611570249,0.6049814119358727
868,0.476036866359447,0.3211755233494364,0.4140794223826715,0.4076923076923083,0.7305882352941176,0.2785123966942149,0.7276179811957809
393,0.6677419354838711,0.3424315619967794,0.5499398315282792,0.4384615384615374,0.7211764705882353,0.3842975206611571,0.6203099723343366
675,0.4244239631336406,0.3270531400966183,0.6719614921780986,0.4692307692307709,0.6458823529411765,0.3975206611570249,0.7076364380267686
760,0.6235023041474654,0.3252012882447666,0.7841155234657039,0.4384615384615374,0.6741176470588235,0.5165289256198347,0.8353971957818641
1429,0.5682027649769585,0.4513687600644122,0.8044524669073405,0.4692307692307709,0.6458823529411765,0.556198347107438,0.7327912383045675
728,0.4317972350230415,0.2416264090177133,0.459927797833935,0.5,0.5329411764705883,0.2983471074380165,0.2105061896645458
419,0.1700460829493087,0.1975845410628019,0.3766546329723225,0.7461538461538458,0.448235294117647,0.2388429752066116,0.7614981084419852
